OId,boxId,weight,length,diameter
1,3,10.89,31.90,25.60
2,3,9.03,28.50,22.30
3,3,8.16,30.50,23.90
4,3,10.25,30.60,24.40
5,3,8.66,30.20,23.30
6,3,9.29,29.90,24.00
7,3,6.92,26.20,21.90
8,3,8.87,30.30,22.60
9,3,10.00,32.80,23.80
10,3,7.82,28.70,22.90
11,3,8.24,30.30,22.60
12,3,8.77,28.70,23.50
13,3,6.95,25.50,21.40
14,3,8.19,32.00,22.00
15,3,12.00,36.30,23.50
16,3,8.97,31.90,23.10
17,3,6.67,25.90,21.90
18,3,10.72,33.10,24.40
19,3,6.88,25.20,22.30
20,3,6.49,27.10,21.40
21,3,6.80,23.60,20.50
22,3,6.23,25.50,20.90
23,3,9.08,31.10,23.20
24,3,7.39,28.40,21.90
25,3,8.86,30.20,24.00
26,3,10.29,31.40,24.20
27,3,7.24,26.20,22.40
28,3,7.20,26.90,22.00
29,3,4.96,23.00,19.80
30,3,10.24,30.70,24.80
31,3,8.36,28.50,23.80
32,3,7.65,28.90,23.10
33,3,7.22,24.90,24.00
34,3,7.31,25.90,22.80
35,3,6.88,26.20,21.80
36,3,7.34,28.90,22.50
37,3,7.88,28.20,22.00
38,3,8.78,29.30,24.00
39,3,8.13,27.00,22.60
40,3,7.41,29.00,22.00
41,3,9.06,30.60,23.10
42,3,10.48,32.90,24.60
43,3,7.76,27.90,23.10
44,3,8.38,31.80,22.10
45,3,8.21,30.90,21.40
46,3,8.19,28.50,22.40
47,3,7.85,26.20,23.00
48,3,4.46,23.20,19.20
49,3,7.91,29.80,22.40
50,3,6.43,26.40,21.00
51,3,6.21,25.30,19.40
52,3,10.08,31.50,25.40
53,3,9.36,28.30,24.70
54,3,6.18,27.80,20.40
55,3,12.84,35.00,26.20
56,3,8.66,29.60,23.40
57,3,9.53,28.90,24.70
58,3,8.88,31.60,23.70
59,3,5.93,24.50,20.90
60,4,12.83,34.00,25.50
61,4,12.38,35.50,25.80
62,4,9.96,31.30,23.90
63,4,10.44,33.80,22.50
64,4,11.45,32.10,25.00
65,4,12.73,36.20,25.30
66,4,10.71,31.70,22.40
67,4,9.42,33.20,23.10
68,4,8.97,28.90,24.50
69,4,10.09,33.20,22.50
70,4,11.84,30.40,26.60
71,4,10.69,33.20,24.20
72,4,11.23,34.90,25.50
73,4,9.03,26.30,25.70
74,4,9.03,30.20,22.30
75,4,7.97,28.10,22.00
76,4,7.65,26.40,22.30
77,4,10.95,32.40,25.10
78,4,10.09,32.90,24.20
79,4,10.94,34.20,23.70
80,4,6.55,27.20,21.50
