OId,boxId,weight,length,diameter
81,4,12.10,31.60,25.70
82,4,10.49,31.10,25.10
83,4,15.00,34.90,28.40
84,4,9.33,30.80,24.60
85,4,9.16,29.50,24.40
86,4,11.78,34.40,24.50
87,4,9.23,30.80,24.10
88,4,7.37,28.00,22.50
89,4,10.56,31.40,24.90
90,4,7.85,30.80,20.80
91,4,9.64,32.30,21.60
92,4,7.37,26.90,22.10
93,4,8.86,28.80,22.40
94,4,8.76,30.30,23.50
95,4,14.95,37.60,25.50
96,4,8.67,28.60,23.60
97,4,12.19,31.10,27.40
98,4,7.05,27.90,22.40
99,4,7.96,30.00,20.90
100,4,9.46,29.90,24.90
101,4,9.18,28.90,23.80
102,4,10.23,31.70,24.20
103,4,6.68,26.80,22.30
104,4,8.37,27.40,23.90
105,4,8.84,28.80,24.70
106,4,6.28,26.70,20.60
107,4,5.87,24.60,21.00
108,4,9.39,31.60,22.90
109,4,6.06,25.10,21.40
110,4,8.54,28.50,21.90
111,4,5.80,26.50,20.60
112,5,11.67,32.70,27.50
113,5,10.14,32.50,24.60
114,5,9.79,30.50,24.60
115,5,10.59,31.30,25.50
116,5,10.13,29.50,25.50
117,5,10.92,32.00,24.70
118,5,11.32,31.90,25.20
119,5,8.87,28.20,24.10
120,5,7.44,26.80,22.60
121,5,11.34,34.40,25.00
122,5,11.40,33.20,25.10
123,5,10.22,30.00,25.40
124,5,9.32,27.40,24.70
125,5,10.33,28.50,24.40
126,5,12.47,33.10,26.30
127,5,7.70,28.10,22.50
128,5,11.22,30.40,25.30
129,5,9.92,29.80,24.90
130,5,9.79,29.10,24.70
131,5,9.38,30.60,24.10
132,5,7.49,27.50,21.70
133,5,10.86,29.60,24.10
134,5,11.41,31.10,25.70
135,5,9.17,29.50,24.20
136,5,8.96,26.50,24.90
137,5,9.64,28.50,25.00
138,5,11.59,33.60,25.70
139,5,9.20,29.20,23.20
140,5,10.23,33.60,24.20
141,5,10.33,31.20,23.80
142,5,8.16,28.20,23.70
143,5,7.10,27.10,22.70
144,5,10.12,30.10,24.70
145,5,8.26,29.60,22.80
146,5,5.62,23.50,20.20
147,5,11.91,31.90,27.00
148,5,8.70,29.10,22.60
149,5,7.61,27.20,22.50
150,5,9.56,27.40,24.40
151,5,9.41,30.70,24.20
152,5,6.15,30.20,18.80
153,5,11.71,31.30,25.30
154,5,11.56,32.00,24.70
155,5,9.32,29.80,23.30
156,5,7.97,27.00,23.00
157,5,8.56,28.50,22.40
158,5,7.42,27.10,22.40
159,5,11.19,32.80,24.70
160,5,9.33,31.20,23.90
161,5,4.87,26.40,18.40
162,5,6.58,27.90,20.40
163,5,7.63,28.50,21.80
164,5,9.93,29.80,24.20
165,6,10.14,31.90,25.90
166,6,8.07,29.50,23.00
167,6,6.56,26.50,21.00
168,6,7.37,29.50,21.60
169,6,9.25,32.50,22.90
170,6,8.53,27.60,23.80
171,6,10.00,31.70,23.70
172,6,6.75,28.70,22.00
173,6,5.52,24.00,21.00
174,6,9.52,31.70,23.50
175,6,8.44,28.70,23.80
176,6,8.29,27.90,23.60
177,6,10.74,31.70,24.50
178,6,12.78,34.00,25.90
179,6,6.32,25.10,22.00
180,6,11.26,31.90,26.30
181,6,10.00,32.40,24.80
182,6,6.36,25.80,21.80
183,6,10.07,29.10,24.90
184,6,11.20,35.30,23.30
185,6,9.81,30.20,24.80
186,6,5.84,26.70,20.40
187,6,10.97,33.50,24.60
188,6,7.19,26.70,22.70
189,6,7.69,32.50,20.80
190,6,8.94,30.20,23.50
191,6,11.13,30.80,25.80
192,6,7.89,27.60,23.10
193,6,8.15,28.50,22.80
194,6,8.13,28.60,23.00
195,6,9.22,31.70,23.90
196,6,8.27,29.20,22.50
197,6,6.55,25.80,22.50
198,6,8.15,29.40,22.40
199,6,10.54,31.80,25.20
200,6,7.81,29.50,22.50
201,6,7.72,27.50,22.60
202,6,4.66,22.90,19.50
203,6,9.28,29.00,24.70
204,6,13.16,34.70,26.50
205,6,7.27,27.70,23.00
206,6,9.47,28.70,24.40
207,6,10.65,33.20,24.70
208,6,9.13,32.00,23.30
209,6,8.87,29.30,24.00
210,6,8.04,27.70,23.00
211,6,7.95,29.50,22.50
212,6,5.67,26.30,20.60
213,6,7.00,27.40,22.10
214,6,9.59,31.00,24.60
215,6,6.88,26.60,21.90
216,6,6.26,24.50,21.00
217,6,6.33,26.60,21.00
218,6,6.21,25.10,21.20
219,6,9.81,29.70,23.70
220,6,6.91,29.00,21.30
221,6,7.37,25.60,23.90
222,6,6.38,26.90,21.60
223,6,7.41,28.00,21.70
224,6,9.40,30.60,24.20
225,7,5.83,30.15,19.10
226,7,5.85,25.31,20.80
227,7,6.65,30.41,19.81
228,7,7.08,29.33,21.08
229,7,7.18,31.05,18.56
230,7,7.21,33.74,19.51
231,7,7.70,30.38,21.40
232,7,7.74,33.80,20.56
233,7,7.95,31.20,20.81
234,7,8.05,32.67,21.01
235,7,8.14,31.91,21.11
236,7,8.18,31.47,21.56
237,7,8.23,33.54,19.64
238,7,8.27,31.31,22.21
239,7,8.29,35.02,18.88
240,7,8.79,34.00,20.73
241,7,9.07,34.79,20.80
242,7,9.22,35.98,21.20
243,7,9.37,35.75,22.33
244,7,9.41,35.89,20.10
245,7,9.68,34.19,22.37
246,7,9.74,33.74,21.27
247,7,9.85,34.87,22.80
248,7,9.86,33.26,23.76
249,7,9.89,37.26,19.69
250,7,10.03,31.67,22.99
251,7,10.15,35.35,21.66
252,7,10.25,36.14,22.46
253,7,10.27,34.73,23.12
254,7,10.36,37.27,22.48
255,7,10.37,35.21,21.57
256,7,10.39,35.42,19.97
257,7,10.44,36.95,23.85
258,7,10.59,37.12,23.13
259,7,10.70,35.95,22.31
260,7,10.73,38.97,21.55
261,7,10.74,36.43,21.58
262,7,10.89,34.82,23.14
263,7,11.15,39.01,22.44
264,7,11.25,36.29,23.46
265,7,11.32,39.14,22.67
266,7,11.36,35.64,22.88
267,7,11.54,37.65,23.19
268,7,11.58,37.50,23.61
269,7,11.82,36.13,24.08
270,7,12.00,38.04,24.01
271,7,12.57,40.15,22.39
272,7,12.92,34.68,25.66
273,7,13.04,39.26,24.51
274,7,13.33,39.00,25.24
275,7,13.69,35.98,25.94
