OId,boxId,weight,length,diameter
1,4,12.83,3.4,2.55
2,4,12.38,3.55,2.58
3,4,9.96,3.13,2.39
4,4,10.44,3.38,2.25
5,4,11.45,3.21,2.5
6,4,12.73,3.62,2.53
7,4,10.71,3.17,2.24
8,4,9.42,3.32,2.31
9,4,8.97,2.89,2.45
10,4,10.09,3.32,2.25
11,4,11.84,3.04,2.66
12,4,10.69,3.32,2.42
13,4,11.23,3.49,2.55
14,4,9.03,2.63,2.57
15,4,9.03,3.02,2.23
16,4,7.97,2.81,2.2
17,4,7.65,2.64,2.23
18,4,10.95,3.24,2.51
19,4,10.09,3.29,2.42
20,4,10.94,3.42,2.37
21,4,6.55,2.72,2.15
22,4,12.1,3.16,2.57
23,4,10.49,3.11,2.51
24,4,15,3.49,2.84
25,4,9.33,3.08,2.46
26,4,9.16,2.95,2.44
27,4,11.78,3.44,2.45
28,4,9.23,3.08,2.41
29,4,7.37,2.8,2.25
30,4,10.56,3.14,2.49
31,4,7.85,3.08,2.08
32,4,9.64,3.23,2.16
33,4,7.37,2.69,2.21
34,4,8.86,2.88,2.24
35,4,8.76,3.03,2.35
36,4,14.95,3.76,2.55
37,4,8.67,2.86,2.36
38,4,12.19,3.11,2.74
39,4,7.05,2.79,2.24
40,4,7.96,3,2.09
41,4,9.46,2.99,2.49
42,4,9.18,2.89,2.38
43,4,10.23,3.17,2.42
44,4,6.68,2.68,2.23
45,4,8.37,2.74,2.39
46,4,8.84,2.88,2.47
47,4,6.28,2.67,2.06
48,4,5.87,2.46,2.1
49,4,9.39,3.16,2.29
50,4,6.06,2.51,2.14
51,4,8.54,2.85,2.19
52,4,5.8,2.65,2.06
